,Town name,Latitude,Longitude
317,Hradešín,50°2′20″,14°45′24″
318,Choťovice,50°8′33″,15°19′11″
319,Chotutice,50°4′12″,14°59′24″
320,Chrášťany (okres Kolín),50°3′56″,14°55′49″
321,Jestřabí Lhota,50°5′24″,15°15′42″
322,Kbel (okres Kolín),49°59′18″,15°8′37″
323,Klášterní Skalice,50°1′25″,14°59′7″
324,Klučov (okres Kolín),50°5′42″,14°54′36″
325,Kolín,50°1′41″,15°12′2″
326,Konárovice,50°2′29″,15°17′3″
327,Kořenice,49°58′38″,15°8′27″
328,Kouřim,50°0′11″,14°58′38″
329,Krakovany,50°3′58″,15°22′8″
330,Krupá (okres Kolín),50°1′3″,14°52′17″
331,Krychnov,50°0′22″,15°3′28″
332,Křečhoř,50°1′32″,15°7′38″
333,Kšely,50°2′37″,14°54′7″
334,Libenice,49°59′4″,15°15′29″
335,Libodřice,50°0′16″,15°5′18″
336,Lipec,50°5′6″,15°21′53″
337,Lošany,49°59′51″,15°7′34″
338,Malotice,49°57′55″,14°58′40″
339,Masojedy,50°1′34″,14°46′41″
340,Mrzky,50°2′41″,14°48′36″
341,Nebovidy (okres Kolín),49°59′30″,15°13′10″
342,Němčice (okres Kolín),50°5′4″,15°17′39″
343,Nová Ves I,50°3′8″,15°8′40″
344,Ohaře,50°5′52″,15°17′42″
345,Ovčáry (okres Kolín),50°3′46″,15°14′22″
346,Pašinka,49°59′47″,15°11′11″
347,Pečky,50°5′26″,15°1′49″
348,Plaňany,50°3′,15°1′46″
349,Pňov-Předhradí,50°5′9″,15°8′53″
350,Polepy (okres Kolín),50°0′17″,15°12′22″
351,Polní Chrčice,50°6′36″,15°17′48″
352,Polní Voděrady,49°59′33″,15°5′43″
353,Poříčany,50°6′29″,14°55′6″
354,Přehvozdí,50°1′39″,14°50′24″
355,Přistoupim,50°3′15″,14°52′43″
356,Přišimasy,50°3′2″,14°45′44″
357,Radim (okres Kolín),50°4′12″,15°0′45″
358,Radovesnice I,50°0′38″,15°9′3″
359,Radovesnice II,50°6′15″,15°22′4″
360,Ratboř,49°58′41″,15°9′33″
361,Ratenice,50°5′30″,15°3′34″
362,Rostoklaty,50°4′27″,14°48′5″
363,Skvrňov,49°53′50″,15°0′7″
364,Starý Kolín,50°0′35″,15°17′38″
365,Svojšice (okres Kolín),50°0′10″,15°2′30″
366,Tatce,50°5′28″,14°58′38″
367,Tismice,50°3′22″,14°49′16″
368,Toušice,49°59′17″,15°0′24″
369,Třebovle,50°1′38″,14°57′43″
370,Tři Dvory,50°1′55″,15°15′24″
371,Tuchoraz,50°2′55″,14°50′57″
372,Tuklaty,50°5′5″,14°46′10″
373,Týnec nad Labem,50°2′31″,15°21′30″
374,Uhlířská Lhota,50°4′44″,15°23′28″
375,Veletov,50°1′42″,15°18′19″
376,Velim,50°3′35″,15°6′26″
377,Velký Osek,50°5′55″,15°11′11″
378,Veltruby,50°4′14″,15°11′5″
379,Vitice,50°1′52″,14°54′52″
380,Volárna,50°5′31″,15°14′26″
381,Vrátkov,50°2′49″,14°50′5″
382,Vrbčany,50°3′,14°59′34″
383,Zalešany,50°2′9″,15°0′28″
384,Zásmuky,49°57′17″,15°1′50″
385,Žabonosy,50°2′8″,15°1′38″
386,Ždánice (okres Kolín),49°58′10″,14°57′33″
387,Žehuň,50°8′8″,15°17′29″
388,Žiželice (okres Kolín),50°7′55″,15°23′36″
389,Adamov (okres Kutná Hora),49°51′28″,15°24′32″
390,Bernardov,50°0′51″,15°23′55″
391,Bílé Podolí,49°57′24″,15°29′28″
392,Bludov (okres Kutná Hora),49°48′27″,15°15′19″
393,Bohdaneč,49°46′42″,15°13′21″
394,Brambory (okres Kutná Hora),49°58′42″,15°28′13″
395,Bratčice (okres Kutná Hora),49°51′19″,15°25′50″
396,Církvice (okres Kutná Hora),49°56′44″,15°20′6″
397,Čáslav,49°54′40″,15°23′23″
